server_computation_start_time,server_computation_end_time,server_sent_data_time,start_time,initial_network_connection_finished,client_setup_finished_time,client_received_time,client_computation_finish_time
1680556150.3095713,1680556151.7152643,1680556151.7262762,1680556150.3095713,1680556150.3095713,1680556150.3095713,1680556152.3597913,1680556164.78369
1680556164.78369,1680556166.3353717,1680556166.3510742,1680556164.78369,1680556164.78369,1680556164.78369,1680556167.0067384,1680556180.7425454
1680556180.7425454,1680556182.4426198,1680556182.4593596,1680556180.7425454,1680556180.7425454,1680556180.7425454,1680556183.2205691,1680556196.598965
1680556196.598965,1680556197.891442,1680556197.906458,1680556196.598965,1680556196.598965,1680556196.598965,1680556198.6329584,1680556211.9232006
1680556211.9232006,1680556213.4544206,1680556213.470539,1680556211.9232006,1680556211.9232006,1680556211.9232006,1680556214.145149,1680556227.2449505
1680556227.2624938,1680556228.8444974,1680556228.8444974,1680556227.2624938,1680556227.2624938,1680556227.2624938,1680556229.565862,1680556243.1286283
1680556243.1286283,1680556244.8225164,1680556244.8375242,1680556243.1286283,1680556243.1286283,1680556243.1286283,1680556245.4502027,1680556258.7787247
1680556258.7787247,1680556260.156377,1680556260.1721573,1680556258.7787247,1680556258.7787247,1680556258.7787247,1680556260.8140907,1680556273.945941
1680556273.962286,1680556275.3302026,1680556275.345241,1680556273.962286,1680556273.962286,1680556273.962286,1680556276.0267804,1680556289.4127111
1680556289.4284234,1680556290.773504,1680556290.7891283,1680556289.4284234,1680556289.4284234,1680556289.4284234,1680556291.4757884,1680556304.6818993
1680556304.6818993,1680556306.1711352,1680556306.1711352,1680556304.6818993,1680556304.6818993,1680556304.6818993,1680556306.8779926,1680556320.4892824
1680556320.5049176,1680556321.8529577,1680556321.8544002,1680556320.5049176,1680556320.5049176,1680556320.5049176,1680556322.6166382,1680556335.8349311
1680556335.8508992,1680556337.4235291,1680556337.4399085,1680556335.8508992,1680556335.8508992,1680556335.8508992,1680556338.2115855,1680556351.8430018
1680556351.8430018,1680556353.3161166,1680556353.3329403,1680556351.8430018,1680556351.8430018,1680556351.8430018,1680556354.0155733,1680556367.7722259
1680556367.7722259,1680556369.6103292,1680556369.6103292,1680556367.7722259,1680556367.7722259,1680556367.7722259,1680556370.3676999,1680556384.0145726
1680556384.0145726,1680556385.3656495,1680556385.3885927,1680556384.0145726,1680556384.0145726,1680556384.0145726,1680556386.0999985,1680556400.1483984
1680556400.1643593,1680556401.6693747,1680556401.6852357,1680556400.1483984,1680556400.1483984,1680556400.1483984,1680556402.2813363,1680556416.0568748
1680556416.0692434,1680556417.5554466,1680556417.5712216,1680556416.0692434,1680556416.0692434,1680556416.0692434,1680556418.2285872,1680556433.8872402
1680556433.8942604,1680556435.576552,1680556435.5875509,1680556433.8932447,1680556433.8942604,1680556433.8942604,1680556436.2751358,1680556451.676429
1680556451.685587,1680556454.1697628,1680556454.1854541,1680556451.683421,1680556451.6844356,1680556451.6844356,1680556455.1651084,1680556475.115172
1680556475.1271715,1680556476.7013242,1680556476.7163334,1680556475.1261718,1680556475.1271715,1680556475.1271715,1680556477.6182032,1680556495.0516627
1680556495.0608454,1680556496.7414107,1680556496.7534072,1680556495.0598323,1680556495.0608454,1680556495.0608454,1680556497.4674387,1680556512.7342978
1680556512.7463093,1680556514.3367531,1680556514.3556755,1680556512.7463093,1680556512.7463093,1680556512.7463093,1680556515.037722,1680556530.8900099
1680556530.8974879,1680556532.7767076,1680556532.7934568,1680556530.8950105,1680556530.896446,1680556530.896446,1680556533.529536,1680556549.9845493
1680556549.992207,1680556551.5269148,1680556551.5372503,1680556549.991206,1680556549.992207,1680556549.992207,1680556552.3354304,1680556567.971852
1680556567.9779243,1680556569.775409,1680556569.7910345,1680556567.976866,1680556567.976866,1680556567.9779243,1680556570.509435,1680556586.5583792
1680556586.5639174,1680556588.3735807,1680556588.389331,1680556586.562904,1680556586.5639174,1680556586.5639174,1680556589.534184,1680556604.9849677
1680556604.990027,1680556606.41113,1680556606.4211297,1680556604.989008,1680556604.990027,1680556604.990027,1680556607.180054,1680556622.1315277
1680556622.14715,1680556623.790905,1680556623.790905,1680556622.14715,1680556622.14715,1680556622.14715,1680556624.4663215,1680556637.5657213
1680556637.5657213,1680556639.049345,1680556639.0657597,1680556637.5657213,1680556637.5657213,1680556637.5657213,1680556639.8163693,1680556654.9975564
1680556654.9975564,1680556656.437107,1680556656.452737,1680556654.9975564,1680556654.9975564,1680556654.9975564,1680556657.1901577,1680556673.3387985
1680556673.341814,1680556674.9924612,1680556675.0059655,1680556673.341814,1680556673.341814,1680556673.341814,1680556675.8288765,1680556690.067184
1680556690.0763364,1680556691.7753444,1680556691.7916687,1680556690.0763364,1680556690.0763364,1680556690.0763364,1680556692.524647,1680556708.024551
1680556708.024551,1680556709.6679866,1680556709.6679866,1680556708.024551,1680556708.024551,1680556708.024551,1680556710.4176602,1680556723.292811
1680556723.3113353,1680556724.7162912,1680556724.7162912,1680556723.3113353,1680556723.3113353,1680556723.3113353,1680556725.4378672,1680556739.0005655
1680556739.0069559,1680556740.521171,1680556740.521171,1680556739.0059543,1680556739.0059543,1680556739.0069559,1680556741.116219,1680556754.4426928
1680556754.4497013,1680556755.9013946,1680556755.9013946,1680556754.4497013,1680556754.4497013,1680556754.4497013,1680556756.6438644,1680556770.1196914
