server_computation_start_time,server_computation_end_time,server_sent_data_time,start_time,initial_network_connection_finished,client_received_time
1680553977.2550344,1680553977.2550344,1680553977.2550344,1680553977.2550344,1680553977.2550344,1680553977.2550344
1680553977.2550344,1680553977.264779,1680553977.264779,1680553977.2550344,1680553977.2550344,1680553977.264779
1680553977.265712,1680553977.265712,1680553977.265712,1680553977.264779,1680553977.265712,1680553977.265712
1680553977.265712,1680553977.265712,1680553977.265712,1680553977.265712,1680553977.265712,1680553977.265712
1680553977.265712,1680553977.265712,1680553977.265712,1680553977.265712,1680553977.265712,1680553977.265712
1680553977.265712,1680553977.2707822,1680553977.2707822,1680553977.265712,1680553977.265712,1680553977.2707822
1680553977.2712874,1680553977.2712874,1680553977.2712874,1680553977.2707822,1680553977.2712874,1680553977.2712874
1680553977.2712874,1680553977.2712874,1680553977.2712874,1680553977.2712874,1680553977.2712874,1680553977.2712874
1680553977.2712874,1680553977.2712874,1680553977.2712874,1680553977.2712874,1680553977.2712874,1680553977.2712874
1680553977.2712874,1680553977.277278,1680553977.277278,1680553977.2712874,1680553977.2712874,1680553977.277278
1680553977.277928,1680553977.277928,1680553977.277928,1680553977.277278,1680553977.277928,1680553977.277928
1680553977.277928,1680553977.279114,1680553977.279114,1680553977.277928,1680553977.277928,1680553977.279114
1680553977.2802246,1680553977.2802246,1680553977.2802246,1680553977.279114,1680553977.2802246,1680553977.2802246
1680553977.2817054,1680553977.2817054,1680553977.2817054,1680553977.2802246,1680553977.2817054,1680553977.2817054
1680553977.2817054,1680553977.2817054,1680553977.2817054,1680553977.2817054,1680553977.2817054,1680553977.2817054
1680553977.2817054,1680553977.2862236,1680553977.2862236,1680553977.2817054,1680553977.2817054,1680553977.2862236
1680553977.2876225,1680553977.2876225,1680553977.2876225,1680553977.2862236,1680553977.287116,1680553977.2876225
1680553977.2876225,1680553977.2876225,1680553977.2876225,1680553977.2876225,1680553977.2876225,1680553977.2876225
1680553977.2876225,1680553977.2911296,1680553977.2911296,1680553977.2876225,1680553977.2876225,1680553977.2911296
1680553977.2911296,1680553977.2911296,1680553977.2911296,1680553977.2911296,1680553977.2911296,1680553977.2911296
1680553977.2911296,1680553977.2948499,1680553977.2948499,1680553977.2911296,1680553977.2911296,1680553977.2948499
1680553977.2954988,1680553977.2954988,1680553977.2954988,1680553977.2948499,1680553977.2948499,1680553977.2954988
1680553977.2954988,1680553977.2954988,1680553977.2954988,1680553977.2954988,1680553977.2954988,1680553977.2954988
1680553977.2986524,1680553977.2986524,1680553977.2986524,1680553977.2954988,1680553977.2986524,1680553977.2986524
1680553977.2986524,1680553977.2986524,1680553977.2986524,1680553977.2986524,1680553977.2986524,1680553977.2986524
1680553977.302162,1680553977.302162,1680553977.302162,1680553977.2986524,1680553977.302162,1680553977.302162
1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.302162,1680553977.302162,1680553977.3042638
1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638
1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638
1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638,1680553977.3042638
1680553977.3042638,1680553977.3110566,1680553977.3110566,1680553977.3042638,1680553977.3042638,1680553977.3110566
1680553977.3110566,1680553977.3110566,1680553977.3110566,1680553977.3110566,1680553977.3110566,1680553977.3110566
1680553977.314094,1680553977.314094,1680553977.314094,1680553977.3110566,1680553977.314094,1680553977.314094
1680553977.314094,1680553977.314094,1680553977.314094,1680553977.314094,1680553977.314094,1680553977.314094
1680553977.314094,1680553977.314094,1680553977.314094,1680553977.314094,1680553977.314094,1680553977.314094
1680553977.3181045,1680553977.318775,1680553977.318775,1680553977.314094,1680553977.3181045,1680553977.318775
1680553977.318775,1680553977.3200924,1680553977.3200924,1680553977.318775,1680553977.318775,1680553977.3200924
1680553977.3213434,1680553977.3213434,1680553977.3213434,1680553977.3200924,1680553977.3213434,1680553977.3213434
1680553977.3213434,1680553977.3213434,1680553977.3213434,1680553977.3213434,1680553977.3213434,1680553977.3213434
1680553977.3213434,1680553977.3243291,1680553977.3243291,1680553977.3213434,1680553977.3213434,1680553977.3243291
1680553977.3250985,1680553977.3250985,1680553977.3250985,1680553977.3243291,1680553977.3250985,1680553977.3250985
1680553977.3264775,1680553977.3264775,1680553977.3264775,1680553977.3250985,1680553977.3264775,1680553977.3264775
1680553977.3264775,1680553977.3293695,1680553977.3293695,1680553977.3264775,1680553977.3264775,1680553977.3293695
1680553977.3300834,1680553977.3300834,1680553977.3300834,1680553977.3293695,1680553977.3293695,1680553977.3300834
1680553977.3314364,1680553977.3314364,1680553977.3314364,1680553977.3300834,1680553977.3314364,1680553977.3314364
1680553977.3314364,1680553977.33395,1680553977.33395,1680553977.3314364,1680553977.3314364,1680553977.33395
1680553977.334763,1680553977.335723,1680553977.335723,1680553977.33395,1680553977.334763,1680553977.335723
1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723
1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723
1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723,1680553977.335723
1680553977.335723,1680553977.3414812,1680553977.3414812,1680553977.335723,1680553977.335723,1680553977.3414812
1680553977.3414812,1680553977.3430526,1680553977.3430526,1680553977.3414812,1680553977.3414812,1680553977.3430526
1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526
1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526
1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526,1680553977.3430526
1680553977.3430526,1680553977.3477604,1680553977.3477604,1680553977.3430526,1680553977.3430526,1680553977.3477604
1680553977.34855,1680553977.34855,1680553977.34855,1680553977.3477604,1680553977.34855,1680553977.34855
1680553977.3500602,1680553977.350646,1680553977.350646,1680553977.34855,1680553977.3500602,1680553977.350646
1680553977.351819,1680553977.3523421,1680553977.3523421,1680553977.350646,1680553977.351819,1680553977.3523421
1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3523421,1680553977.3533573,1680553977.3533573
1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573
1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573
1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573
1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573
1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573,1680553977.3533573
1680553977.3533573,1680553977.364348,1680553977.364348,1680553977.3533573,1680553977.3533573,1680553977.364348
1680553977.364348,1680553977.3658578,1680553977.3658578,1680553977.364348,1680553977.364348,1680553977.3665218
1680553977.3670948,1680553977.367788,1680553977.367788,1680553977.3665218,1680553977.3670948,1680553977.367788
1680553977.3686254,1680553977.3686254,1680553977.3686254,1680553977.367788,1680553977.3686254,1680553977.3686254
1680553977.3686254,1680553977.3686254,1680553977.3686254,1680553977.3686254,1680553977.3686254,1680553977.3686254
1680553977.3717744,1680553977.3725502,1680553977.3725502,1680553977.3686254,1680553977.3717744,1680553977.3725502
1680553977.3725502,1680553977.3739135,1680553977.3739135,1680553977.3725502,1680553977.3725502,1680553977.3739135
1680553977.3739135,1680553977.3755796,1680553977.3755796,1680553977.3739135,1680553977.3739135,1680553977.3755796
1680553977.3763237,1680553977.3763237,1680553977.3763237,1680553977.3755796,1680553977.3755796,1680553977.3763237
1680553977.3763237,1680553977.3763237,1680553977.3763237,1680553977.3763237,1680553977.3763237,1680553977.3763237
1680553977.3763237,1680553977.3798416,1680553977.3798416,1680553977.3763237,1680553977.3763237,1680553977.3798416
