trial_id,server_received_connection_time,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received_time,start_time,client_connection_finished_time,client_setup_start_time,client_setup_finished_time,client_computation_start_time,client_computation_finish_time,prediction
0,1679441182.8482084,1679441182.8482084,1679441183.1922362,1679441183.194229,1679441183.2808545,1679441182.842581,1679441182.8482084,1679441182.8482084,1679441182.8482084,1679441183.2808545,1679441184.7817512,0
1,1679441184.7837446,1679441184.7847414,1679441185.2020707,1679441185.2030668,1679441185.2732499,1679441184.7827477,1679441184.7837446,1679441184.7837446,1679441184.7837446,1679441185.2732499,1679441186.7562058,0
2,1679441186.7581224,1679441186.7581224,1679441187.19516,1679441187.1961567,1679441187.2707412,1679441186.7572062,1679441186.7581224,1679441186.7581224,1679441186.7581224,1679441187.2707412,1679441188.7216704,0
3,1679441188.7236638,1679441188.7236638,1679441189.1015325,1679441189.1025293,1679441189.165257,1679441188.7226672,1679441188.7236638,1679441188.7236638,1679441188.7236638,1679441189.165257,1679441190.6996443,0
4,1679441190.7017233,1679441190.7017233,1679441191.134766,1679441191.1357627,1679441191.1998088,1679441190.7007217,1679441190.7017233,1679441190.7017233,1679441190.7017233,1679441191.1998088,1679441192.7363105,0
5,1679441192.7373073,1679441192.738304,1679441193.1192265,1679441193.1213412,1679441193.188612,1679441192.7363105,1679441192.7373073,1679441192.7373073,1679441192.7373073,1679441193.188612,1679441194.6545582,0
6,1679441194.6560514,1679441194.6560514,1679441195.063579,1679441195.0645819,1679441195.1302748,1679441194.6545582,1679441194.6560514,1679441194.6560514,1679441194.6560514,1679441195.1302748,1679441196.5453527,0
7,1679441196.5463529,1679441196.5473454,1679441196.9597886,1679441196.960811,1679441197.0290782,1679441196.5453527,1679441196.5463529,1679441196.5463529,1679441196.5463529,1679441197.0290782,1679441198.5612414,0
8,1679441198.5632355,1679441198.5642304,1679441198.9109626,1679441198.9119604,1679441198.9839935,1679441198.5622385,1679441198.5632355,1679441198.5632355,1679441198.5632355,1679441198.9839935,1679441200.456723,0
9,1679441200.4587164,1679441200.4587164,1679441200.8463721,1679441200.8475087,1679441200.9172754,1679441200.4577196,1679441200.4587164,1679441200.4587164,1679441200.4587164,1679441200.918272,1679441202.4034243,0
10,1679441202.4063244,1679441202.4063244,1679441202.8721313,1679441202.8731282,1679441202.9374006,1679441202.4044118,1679441202.4053266,1679441202.4053266,1679441202.4063244,1679441202.9374006,1679441204.5093803,0
11,1679441204.5114446,1679441204.5114446,1679441204.9034002,1679441204.9043972,1679441204.9637465,1679441204.5103772,1679441204.5114446,1679441204.5114446,1679441204.5114446,1679441204.9647436,1679441206.6329718,0
12,1679441206.6348813,1679441206.6348813,1679441207.0260806,1679441207.0270774,1679441207.089498,1679441206.6338868,1679441206.6348813,1679441206.6348813,1679441206.6348813,1679441207.089498,1679441208.636098,0
13,1679441208.6373968,1679441208.6373968,1679441209.0650496,1679441209.0660446,1679441209.1378903,1679441208.636098,1679441208.6373968,1679441208.6373968,1679441208.6373968,1679441209.1388042,1679441210.6223786,0
14,1679441210.6243718,1679441210.6243718,1679441210.9960515,1679441210.9971309,1679441211.0697994,1679441210.6233766,1679441210.6243718,1679441210.6243718,1679441210.6243718,1679441211.0697994,1679441212.81432,0
15,1679441212.8164299,1679441212.817514,1679441213.3377934,1679441213.338795,1679441213.4304903,1679441212.8154151,1679441212.8164299,1679441212.8164299,1679441212.8164299,1679441213.4304903,1679441215.2722263,0
16,1679441215.2742424,1679441215.2742424,1679441215.8165567,1679441215.8175542,1679441215.896065,1679441215.2732463,1679441215.2742424,1679441215.2742424,1679441215.2742424,1679441215.8970706,1679441217.5106008,0
17,1679441217.5135863,1679441217.5135863,1679441217.984136,1679441217.9851334,1679441218.0479589,1679441217.5115974,1679441217.512591,1679441217.512591,1679441217.5135863,1679441218.0489557,1679441219.5410488,0
18,1679441219.5430412,1679441219.5430412,1679441219.9640815,1679441219.9660747,1679441220.042305,1679441219.5420454,1679441219.5430412,1679441219.5430412,1679441219.5430412,1679441220.042305,1679441221.5861099,0
19,1679441221.5880275,1679441221.5880275,1679441222.022093,1679441222.0231025,1679441222.0827835,1679441221.5871181,1679441221.5880275,1679441221.5880275,1679441221.5880275,1679441222.0827835,1679441223.735633,0
20,1679441223.7386174,1679441223.7386174,1679441224.148751,1679441224.1507423,1679441224.2354589,1679441223.7366295,1679441223.7386174,1679441223.7386174,1679441223.7386174,1679441224.2364552,1679441225.9238498,0
21,1679441225.9258342,1679441225.9258342,1679441226.3255482,1679441226.3275664,1679441226.401302,1679441225.924847,1679441225.9258342,1679441225.9258342,1679441225.9258342,1679441226.401302,1679441227.9648926,0
22,1679441227.9668863,1679441227.9668863,1679441228.450825,1679441228.4519198,1679441228.5579329,1679441227.9658892,1679441227.9668863,1679441227.9668863,1679441227.9668863,1679441228.5579329,1679441230.1957693,0
23,1679441230.1979759,1679441230.1979759,1679441230.694148,1679441230.6951494,1679441230.7748146,1679441230.1969638,1679441230.1979759,1679441230.1979759,1679441230.1979759,1679441230.7758236,1679441232.904006,0
24,1679441232.9063427,1679441232.9063427,1679441233.3757732,1679441233.377094,1679441233.4551404,1679441232.905003,1679441232.9063427,1679441232.9063427,1679441232.9063427,1679441233.4561377,1679441235.0155048,0
25,1679441235.0174997,1679441235.0174997,1679441235.3664598,1679441235.367457,1679441235.439994,1679441235.0165045,1679441235.0174997,1679441235.0174997,1679441235.0174997,1679441235.439994,1679441237.0862818,0
26,1679441237.0882657,1679441237.0882657,1679441237.4962256,1679441237.497223,1679441237.564279,1679441237.0872674,1679441237.0882657,1679441237.0882657,1679441237.0882657,1679441237.564279,1679441239.1964347,0
27,1679441239.1984303,1679441239.1984303,1679441239.6980085,1679441239.699005,1679441239.7827697,1679441239.1974323,1679441239.1984303,1679441239.1984303,1679441239.1984303,1679441239.7827697,1679441241.393114,0
28,1679441241.3952727,1679441241.3966327,1679441241.80677,1679441241.8077679,1679441241.910425,1679441241.394115,1679441241.3952727,1679441241.3952727,1679441241.3952727,1679441241.910425,1679441243.5225513,0
29,1679441243.5245466,1679441243.5245466,1679441243.9684918,1679441243.9694886,1679441244.0381026,1679441243.5235484,1679441243.5235484,1679441243.5235484,1679441243.5245466,1679441244.0381026,1679441245.6659777,0
30,1679441245.6679707,1679441245.6679707,1679441246.1492438,1679441246.1502984,1679441246.230573,1679441245.6669772,1679441245.6679707,1679441245.6679707,1679441245.6679707,1679441246.230573,1679441247.8379645,0
31,1679441247.8399582,1679441247.8399582,1679441248.2226381,1679441248.2236464,1679441248.3027763,1679441247.838961,1679441247.8399582,1679441247.8399582,1679441247.8399582,1679441248.3027763,1679441249.863602,0
32,1679441249.8665912,1679441249.8665912,1679441250.2632654,1679441250.2642622,1679441250.3336995,1679441249.8655941,1679441249.8665912,1679441249.8665912,1679441249.8665912,1679441250.3347952,1679441251.9325368,0
33,1679441251.9345293,1679441251.9345293,1679441252.3699257,1679441252.370942,1679441252.4540687,1679441251.9335344,1679441251.9335344,1679441251.9335344,1679441251.9345293,1679441252.4540687,1679441254.0018156,0
34,1679441254.0028121,1679441254.0038085,1679441254.354101,1679441254.355098,1679441254.4525201,1679441254.0028121,1679441254.0028121,1679441254.0028121,1679441254.0028121,1679441254.4525201,1679441256.0169573,0
35,1679441256.0191364,1679441256.0191364,1679441256.3943644,1679441256.3953626,1679441256.4652119,1679441256.0179543,1679441256.0191364,1679441256.0191364,1679441256.0191364,1679441256.4652119,1679441258.1375518,0
36,1679441258.1408184,1679441258.1408184,1679441258.7373958,1679441258.7383924,1679441258.813394,1679441258.1397045,1679441258.1408184,1679441258.1408184,1679441258.1408184,1679441258.813394,1679441260.3920407,0
