id,server_received_connection_time,prediction,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received,start_time,client_connection_finished_time
0,1679443436.8019295,0,1679443436.8019295,1679443436.8069167,1679443436.8069167,1679443436.8069167,1679443436.7977798,1679443436.8019295
1,1679443436.8079174,0,1679443436.8079174,1679443436.8089101,1679443436.8089101,1679443436.8089101,1679443436.8069167,1679443436.8079174
2,1679443436.8099108,0,1679443436.8099108,1679443436.8099108,1679443436.8099108,1679443436.8099108,1679443436.8089101,1679443436.8099108
3,1679443436.8109107,0,1679443436.8109107,1679443436.8120332,1679443436.8120332,1679443436.8120332,1679443436.8109107,1679443436.8109107
4,1679443436.813034,0,1679443436.813034,1679443436.8150256,1679443436.8150256,1679443436.8150256,1679443436.8120332,1679443436.813034
5,1679443436.8160229,0,1679443436.8160229,1679443436.817019,1679443436.817019,1679443436.817019,1679443436.8150256,1679443436.8160229
6,1679443436.8180156,0,1679443436.8180156,1679443436.8190143,1679443436.8190143,1679443436.8190143,1679443436.817019,1679443436.8180156
7,1679443436.8200088,0,1679443436.8200088,1679443436.8210123,1679443436.8210123,1679443436.8210123,1679443436.8190143,1679443436.8200088
8,1679443436.8220026,0,1679443436.8220026,1679443436.823037,1679443436.823037,1679443436.8240268,1679443436.8210123,1679443436.8220026
9,1679443436.8240268,0,1679443436.8240268,1679443436.8249938,1679443436.8249938,1679443436.8249938,1679443436.8240268,1679443436.8240268
10,1679443436.82599,0,1679443436.82599,1679443436.8270626,1679443436.8270626,1679443436.8270626,1679443436.8249938,1679443436.82599
11,1679443436.827984,0,1679443436.827984,1679443436.82901,1679443436.82901,1679443436.82901,1679443436.8270626,1679443436.827984
12,1679443436.8299758,0,1679443436.8299758,1679443436.8299758,1679443436.8299758,1679443436.8309748,1679443436.82901,1679443436.8299758
13,1679443436.8309748,0,1679443436.8309748,1679443436.8319695,1679443436.8319695,1679443436.8319695,1679443436.8309748,1679443436.8309748
14,1679443436.8329656,0,1679443436.8329656,1679443436.8339636,1679443436.8339636,1679443436.8339636,1679443436.8319695,1679443436.8329656
15,1679443436.8339636,0,1679443436.8339636,1679443436.835371,1679443436.835371,1679443436.835371,1679443436.8339636,1679443436.8339636
16,1679443436.836371,0,1679443436.836371,1679443436.837368,1679443436.837368,1679443436.8384624,1679443436.835371,1679443436.836371
17,1679443436.8393655,0,1679443436.8393655,1679443436.8405602,1679443436.8405602,1679443436.8405602,1679443436.8384624,1679443436.8393655
18,1679443436.8415587,0,1679443436.8415587,1679443436.8415587,1679443436.8415587,1679443436.842563,1679443436.8405602,1679443436.8415587
19,1679443436.842563,0,1679443436.842563,1679443436.8435543,1679443436.8435543,1679443436.8435543,1679443436.842563,1679443436.842563
20,1679443436.844549,0,1679443436.844549,1679443436.844549,1679443436.844549,1679443436.8455458,1679443436.8435543,1679443436.844549
21,1679443436.8455458,0,1679443436.8455458,1679443436.8466122,1679443436.8466122,1679443436.8466122,1679443436.8455458,1679443436.8455458
22,1679443436.8475387,0,1679443436.8475387,1679443436.8485377,1679443436.8485377,1679443436.8485377,1679443436.8475387,1679443436.8475387
23,1679443436.8495321,0,1679443436.8495321,1679443436.8495321,1679443436.8495321,1679443436.8505812,1679443436.8485377,1679443436.8495321
24,1679443436.8505812,0,1679443436.8505812,1679443436.8515267,1679443436.8515267,1679443436.8515267,1679443436.8505812,1679443436.8505812
25,1679443436.852524,0,1679443436.852524,1679443436.8535204,1679443436.8535204,1679443436.8535204,1679443436.8515267,1679443436.852524
26,1679443436.854516,0,1679443436.854516,1679443436.8555162,1679443436.8555162,1679443436.856509,1679443436.8535204,1679443436.854516
27,1679443436.857506,0,1679443436.857506,1679443436.857506,1679443436.857506,1679443436.857506,1679443436.856509,1679443436.856509
28,1679443436.8585064,0,1679443436.8585064,1679443436.8595,1679443436.8595,1679443436.8595,1679443436.8585064,1679443436.8585064
29,1679443436.8604956,0,1679443436.8604956,1679443436.8604956,1679443436.8604956,1679443436.8615549,1679443436.8595,1679443436.8604956
30,1679443436.8615549,0,1679443436.8615549,1679443436.8624907,1679443436.8624907,1679443436.8624907,1679443436.8615549,1679443436.8615549
